benchmark,mode,il1_miss_rate,dl1_miss_rate,ul2_miss_rate,sim_num_insn,sim_elapsed_time,sim_CPI,vc_lookups,vc_hits,mc_lookups,mc_hits,sb_lookups,sb_hits,sb_prefetches,ul2_d_accesses,ul2_i_accesses
test-fmath,miss_stream,0.0110,0.0468,1.0000,53949,1,,0,0,782,215,567,357,1470,2255,592
test-llong,miss_stream,0.0101,0.0518,1.0000,30132,1,,0,0,545,64,481,350,917,1477,305
test-lswlr,miss_stream,0.0270,0.1016,1.0000,9367,1,,0,0,486,20,466,350,812,1326,253
test-math,miss_stream,0.0042,0.0353,1.0000,214193,1,,0,0,2032,593,1439,431,7056,9391,907
test-fmath,miss_stream,0.0110,0.0469,1.0000,53931,1,,0,0,783,215,568,358,1470,2255,592
test-llong,miss_stream,0.0101,0.0519,1.0000,30114,1,,0,0,546,64,482,351,917,1477,305
test-lswlr,miss_stream,0.0271,0.1018,1.0000,9349,1,,0,0,487,20,467,351,812,1326,253
test-math,miss_stream,0.0042,0.0353,1.0000,214171,1,,0,0,2033,593,1440,432,7056,9391,907
test-fmath,miss_stream,0.0110,0.0469,1.0000,53931,1,,0,0,783,215,568,358,1470,2255,592
test-llong,miss_stream,0.0101,0.0519,1.0000,30114,1,,0,0,546,64,482,351,917,1477,305
test-lswlr,miss_stream,0.0271,0.1018,1.0000,9349,1,,0,0,487,20,467,351,812,1326,253
test-math,miss_stream,0.0042,0.0353,1.0000,214171,1,,0,0,2033,593,1440,432,7056,9391,907
